INDEX	TRACK ID	LAP ID	VALID	UTC DATE	UTC TIME	LOCAL DATE	LOCAL TIME	MS	LATITUDE	N/S	LONGITUDE	E/W	ALTITUDE	SPEED	HEADING	G-X	G-Y	G-Z
1	1	0	FIXED	2013/6/19	18:16:1	2013/6/19	13:16:1	300	43.362856	N	71.459457	W	89.085014	2.025590	147.113183	0.000000	0.000000	0.000000
2	1	0	FIXED	2013/6/19	18:16:1	2013/6/19	13:16:1	400	43.362818	N	71.459422	W	88.059937	2.097836	151.121432	0.000000	0.000000	0.000000
3	1	0	FIXED	2013/6/19	18:16:1	2013/6/19	13:16:1	500	43.362788	N	71.459400	W	87.166565	2.024488	148.327396	0.000000	0.000000	0.000000
4	1	0	FIXED	2013/6/19	18:16:1	2013/6/19	13:16:1	600	43.362774	N	71.459388	W	86.746819	1.877212	146.984839	0.000000	0.000000	0.000000
5	1	0	FIXED	2013/6/19	18:16:1	2013/6/19	13:16:1	700	43.362765	N	71.459380	W	86.402153	1.762384	157.659188	0.000000	0.000000	0.000000
6	1	0	FIXED	2013/6/19	18:16:1	2013/6/19	13:16:1	800	43.362756	N	71.459375	W	86.088264	1.813409	143.402694	0.000000	0.000000	0.000000
7	1	0	FIXED	2013/6/19	18:16:1	2013/6/19	13:16:1	900	43.362754	N	71.459373	W	85.906982	1.803279	133.542169	0.000000	0.000000	0.000000
8	1	0	FIXED	2013/6/19	18:16:2	2013/6/19	13:16:2	0	43.362751	N	71.459369	W	85.587944	1.800568	160.793185	0.000000	0.000000	0.000000
9	1	0	FIXED	2013/6/19	18:16:2	2013/6/19	13:16:2	100	43.362746	N	71.459366	W	84.561256	1.800305	180.582678	0.000000	0.000000	0.000000
10	1	0	FIXED	2013/6/19	18:16:2	2013/6/19	13:16:2	200	43.362739	N	71.459366	W	83.640114	1.838527	172.679673	0.000000	0.000000	0.000000
11	1	0	FIXED	2013/6/19	18:16:2	2013/6/19	13:16:2	300	43.362731	N	71.459365	W	83.384262	1.875760	174.746300	0.000000	0.000000	0.000000
